sector,allocation,selection,interaction,total_active_return
business_services,0.03117004950285623,0.0005104456780381303,0.0012916212017416147,0.032972116382635974
consumer_cyclicals,0.03737397470614736,0.001114576623075523,0.0067805187117124886,0.045269070040935375
consumer_non_cyclicals,-0.010027821785411777,0.0014927001004146978,-0.005198000403699714,-0.01373312208869679
consumer_services,0.05492734554224351,0.0030533863595392633,0.004041746011447558,0.06202247791323033
energy,-0.5935523564710014,0.06668361602054718,-0.0666732453324829,-0.5935419857829372
finance,0.10103620980161154,-0.004458088180320601,0.004050208723712981,0.10062833034500392
healthcare,0.03889258359728626,0.0028560340322995583,0.002576215077509138,0.044324832707094954
industrials,0.034132568945769506,0.0017076390547231454,0.0007884873502261309,0.03662869535071879
non_corporate,0.00030634059922236395,0.0,0.0,0.00030634059922236395
non_energy_materials,0.0039707964654489055,0.005268103979424041,-0.0026505379874728124,0.006588362457400137
technology,0.21820610152768724,0.009705492192780916,0.02472979072923326,0.2526413844497014
telecommunications,0.005215032862131473,0.0,0.0,0.005215032862131473
utilities,0.006050425352544295,0.0,0.0,0.006050425352544295
